group,invariant,invariantType,variables,pptname,tp
items.monetizationDetails.access,return.monetizationDetails.access == null,daikon.inv.unary.scalar.OneOfScalar,(return.monetizationDetails.access),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.player.embedHeight,"return.player.embedHeight is a substring of return.player.embedHtml
return.player.embedHeight is Numeric","daikon.inv.binary.twoString.StdString$SubString
daikon.inv.unary.string.IsNumeric","(return.player.embedHeight, return.player.embedHtml)
(return.player.embedHeight)","main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT",1.0
items.player.embedWidth,return.player.embedWidth is Numeric,daikon.inv.unary.string.IsNumeric,(return.player.embedWidth),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.processingDetails,return.processingDetails == null,daikon.inv.unary.scalar.OneOfScalar,(return.processingDetails),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.processingDetails.processingProgress,return.processingDetails.processingProgress == null,daikon.inv.unary.scalar.OneOfScalar,(return.processingDetails.processingProgress),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.projectDetails,return.projectDetails == null,daikon.inv.unary.scalar.OneOfScalar,(return.projectDetails),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.recordingDetails.location.altitude,return.recordingDetails.location.altitude == 0.0,daikon.inv.unary.scalar.OneOfFloat,(return.recordingDetails.location.altitude),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.recordingDetails.recordingDate,"LENGTH(return.recordingDetails.recordingDate)==20
return.recordingDetails.recordingDate is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.recordingDetails.recordingDate)
(return.recordingDetails.recordingDate)","main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT",1.0
items.snippet.categoryId,return.snippet.categoryId is Numeric,daikon.inv.unary.string.IsNumeric,(return.snippet.categoryId),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.snippet.channelId,LENGTH(return.snippet.channelId)==24,daikon.inv.unary.string.FixedLengthString,(return.snippet.channelId),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.snippet.publishedAt,"LENGTH(return.snippet.publishedAt)==20
return.snippet.publishedAt is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.snippet.publishedAt)
(return.snippet.publishedAt)","main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT",1.0
items.snippet.thumbnails.default.url,return.snippet.thumbnails.default.url is Url,daikon.inv.unary.string.IsUrl,(return.snippet.thumbnails.default.url),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.snippet.thumbnails.high.url,return.snippet.thumbnails.high.url is Url,daikon.inv.unary.string.IsUrl,(return.snippet.thumbnails.high.url),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.snippet.thumbnails.maxres.url,return.snippet.thumbnails.maxres.url is Url,daikon.inv.unary.string.IsUrl,(return.snippet.thumbnails.maxres.url),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.snippet.thumbnails.medium.url,return.snippet.thumbnails.medium.url is Url,daikon.inv.unary.string.IsUrl,(return.snippet.thumbnails.medium.url),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.snippet.thumbnails.standard.url,return.snippet.thumbnails.standard.url is Url,daikon.inv.unary.string.IsUrl,(return.snippet.thumbnails.standard.url),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.statistics.commentCount,return.statistics.commentCount is Numeric,daikon.inv.unary.string.IsNumeric,(return.statistics.commentCount),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.statistics.likeCount,return.statistics.likeCount is Numeric,daikon.inv.unary.string.IsNumeric,(return.statistics.likeCount),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.statistics.viewCount,return.statistics.viewCount is Numeric,daikon.inv.unary.string.IsNumeric,(return.statistics.viewCount),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.status.license,"return.status.license one of { ""creativeCommon"", ""youtube"" }",daikon.inv.unary.string.OneOfString,(return.status.license),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.suggestions,return.suggestions == null,daikon.inv.unary.scalar.OneOfScalar,(return.suggestions),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
items.suggestions.editorSuggestions,"return.suggestions.editorSuggestions == return.suggestions.processingErrors
return.suggestions.editorSuggestions == return.suggestions.processingHints
return.suggestions.editorSuggestions == return.suggestions.processingWarnings
return.suggestions.editorSuggestions == return.topicDetails.relevantTopicIds
return.suggestions.editorSuggestions == return.topicDetails.topicIds
return.suggestions.editorSuggestions == null","daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.unary.scalar.OneOfScalar","(return.suggestions.editorSuggestions, return.suggestions.processingErrors)
(return.suggestions.editorSuggestions, return.suggestions.processingHints)
(return.suggestions.editorSuggestions, return.suggestions.processingWarnings)
(return.suggestions.editorSuggestions, return.topicDetails.relevantTopicIds)
(return.suggestions.editorSuggestions, return.topicDetails.topicIds)
(return.suggestions.editorSuggestions)","main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT",1.0
items.suggestions.tagSuggestions,return.suggestions.tagSuggestions == null,daikon.inv.unary.scalar.OneOfScalar,(return.suggestions.tagSuggestions),main.youtubev3videos.getVideos&200&items(main.getVideos&Input):::EXIT,1.0
kind,"LENGTH(return.kind)==25
return.kind == ""youtube#videoListResponse""","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.OneOfString","(return.kind)
(return.kind)","main.youtubev3videos.getVideos&200(main.getVideos&Input):::EXIT
main.youtubev3videos.getVideos&200(main.getVideos&Input):::EXIT",1.0
nextPageToken,LENGTH(return.nextPageToken)==6,daikon.inv.unary.string.FixedLengthString,(return.nextPageToken),main.youtubev3videos.getVideos&200(main.getVideos&Input):::EXIT,1.0
tokenPagination,return.tokenPagination == null,daikon.inv.unary.scalar.OneOfScalar,(return.tokenPagination),main.youtubev3videos.getVideos&200(main.getVideos&Input):::EXIT,1.0
